scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Puccinia brachypodii var. arrhenatheri (Kleb.) Cummins & H.C. Greene 	116	3	13	IX.1901	05.IV.1995	1901-09/1995-04-05	variety	Pucciniaceae	parasite of: Berberis vulgaris| parasite of: Arrhenatherum elatius| parasite of: Deschampsia cespitosa	present	native
Puccinia brachypodii G.H. Otth var. brachypodii	117	3	14	21.VIII.1994		1994-08-21	variety	Pucciniaceae	parasite of: Berberis vulgaris| parasite of: Brachypodium sylvaticum| parasite of: Brachypodium pinnatum	present	
Puccinia brachypodii var. poae-nemoralis (G.H. Otth) Cummins & H.C. Greene 	118	3	14	VII.1884	07.V.1995	1884-07/1995-05-07	variety	Pucciniaceae	parasite of: Arrhenatherum elatius| parasite of: Poa compressa| parasite of: Poa nemoralis| parasite of: Poa trivialis	present	native
Puccinia bromina Erikss. 	119	3	14	03.VI.1894	08.VI.1998	1894-06-03/1998-06-08	species	Pucciniaceae	parasite of: Symphytum officinalis| parasite of: Bromus hordeaceus	present	native
Puccinia bulbocastani Fuckel 	120	3	15				species	Pucciniaceae	parasite of: Bunium bulbocastanum	present	
Puccinia bupleuri Rudolphi 	121	3	15	28.V.1904	VI.1904	1904-05-28/1904-06	species	Pucciniaceae	parasite of: Bupleurum falcatum	present	
Puccinia buxi DC. 	122	3	15	08.XI.1958	01.III.2008	1958-11-08/2008-03-01	species	Pucciniaceae	parasite of: Buxus sempervirens	present	
Puccinia calcitrapae DC. 	123	3	15	IX.1883	28.IX.2009	1883-09/2009-09-28	species	Pucciniaceae	parasite of: Arctium minus| parasite of: Arctium minus subsp. pubens| parasite of: Carduus crispus| parasite of: Centaurea calcitrapa| parasite of: Centaurea jacea| parasite of: Centaurea jacea subsp. grandiflora| parasite of: Centaurea jacea subsp. nigra| parasite of: Centaurea scabiosa| parasite of: Cirsium oleraceum| parasite of: Cirsium palustre| parasite of: Crepis capillaris	present	native
Puccinia calthae Link 	124	3	16	13.VIII.1901		1901-08-13	species	Pucciniaceae	parasite of: Caltha palustris	present	
Puccinia calthicola J. Schröt. 	125	3	16	19.VIII.1921	17.V.2009	1921-08-19/2009-05-17	species	Pucciniaceae	parasite of: Caltha palustris	present	native
Puccinia campanulae Carm. ex Berk. 	126	3	16	1852		1852	species	Pucciniaceae	parasite of: Campanula rotundifolia| parasite of: Campanula rapunculus	doubtful	
Puccinia caricina DC. 	127	3	16	07.X.1856	09.VIII.2008	1856-10-07/2008-08-09	species	Pucciniaceae	parasite of: Ribes uva-crispa| parasite of: Carex acuta| parasite of: Carex pendula	present	native
